Instance,RunTime,Gap,TotalCollectedPrize,AveragePrizePerVehicle
p4.2.a,602.9839642,8.395683453,139,69.5
p4.2.b,603.1901338,5.309178744,207,103.5
p4.2.c,603.0867538,5.18957346,211,105.5
p4.2.d,602.9841752,2.921921922,333,166.5
p4.2.e,603.2426722,2.510752688,372,186
p4.2.f,603.0458028,2.09478673,422,211
p4.2.g,603.0013433,1.808602151,465,232.5
p4.2.h,603.1616385,2.016166282,433,216.5
p4.2.i,603.180074,1.565815324,509,254.5
p4.2.j,605.3009353,1.612,500,250
p4.2.k,603.2520955,1.169435216,602,301
p4.2.l,604.3071463,1.468809074,529,264.5
p4.2.m,603.4510558,1.116693679,617,308.5
p4.2.n,604.0341196,1.323843416,562,281
p4.2.o,603.9257214,1.180300501,599,299.5
p4.2.p,603.6493282,1.015432099,648,324
p4.2.q,603.7916274,0.829131653,714,357
p4.2.r,603.5150423,0.718421053,760,380
p4.2.s,604.1831796,0.87374462,697,348.5
p4.2.t,603.628413,0.470720721,888,444
p4.3.b,603.6186187,inf,0,0
p4.3.c,603.8602352,12.19191919,99,33
p4.3.d,604.3612955,5.663265306,196,65.33333333
p4.3.e,604.0002272,3.310231023,303,101
p4.3.f,604.0531855,3.58245614,285,95
p4.3.g,604.223829,2.742120344,349,116.3333333
p4.3.h,605.9980946,2.051401869,428,142.6666667
p4.3.i,604.6317589,2.306329114,395,131.6666667
p4.3.j,605.1334312,1.755274262,474,158
p4.3.k,604.5089929,1.492366412,524,174.6666667
p4.3.l,604.5886548,1.516377649,519,173
p4.3.m,604.5914187,1.283216783,572,190.6666667
p4.3.n,605.5477247,1.103059581,621,207
p4.3.o,604.5450938,1.103059581,621,207
p4.3.p,604.682009,1.365942029,552,184
p4.3.q,604.6871202,1.059936909,634,211.3333333
p4.3.r,604.8668861,1.006144393,651,217
p4.3.s,604.785584,0.990853659,656,218.6666667
p4.3.t,604.677295,0.865714286,700,233.3333333
p4.4.d,604.744735,inf,0,0
p4.4.e,604.9623661,inf,0,0
p4.4.f,606.98632,6.296089385,179,44.75
p4.4.g,604.9203668,4.510548523,237,59.25
p4.4.h,604.9512458,2.578082192,365,91.25
p4.4.i,604.9953573,2.731428571,350,87.5
p4.4.j,605.1783485,2.520215633,371,92.75
p4.4.k,605.4469008,2.177615572,411,102.75
p4.4.l,605.4776304,1.968181818,440,110
p4.4.m,605.3595786,1.591269841,504,126
p4.4.n,605.3677557,1.29122807,570,142.5
p4.4.o,605.6159782,1.311504425,565,141.25
p4.4.p,605.7430346,1.183946488,598,149.5
p4.4.q,605.5870669,1.137479542,611,152.75
p4.4.r,605.8559446,0.923416789,679,169.75
p4.4.s,606.0132189,0.789041096,730,182.5
p4.4.t,606.1687756,1.133986928,612,153
