Instance,RunTime,Gap,TotalCollectedPrize,AveragePrizePerVehicle,,,,,,,,,,,,,
p4.2.a,13.29696965,0,206,103,,,,,,,,,,,,,
p4.2.b,25.63144231,0,341,170.5,,,,,,,,,,,,,
p4.2.c,62.21578407,0,452,226,,,,,,,,,,,,,
p4.2.d,603.6299474,0.039548023,531,265.5,,,,,,,,,,,,,
p4.2.e,602.8231239,0.053833605,613,306.5,,,,,,,,Problem Set,Number of Points,Number of Problems ,Average CPU(s),Average Gap,Average Score
p4.2.f,605.9884765,0.091310751,679,339.5,,,,,,,,4.2,100,20,517.18,0.062,889.05
p4.2.g,602.0944209,0.084563758,745,372.5,,,,,,,,4.3,100,19,528.9,0.07,834.68
p4.2.h,602.0418136,0.107594937,790,395,,,,,,,,4.4,100,17,538.38,0.1733,756
p4.2.i,601.9977105,0.046563193,902,451,,,,,,,,,,,,,
p4.2.j,602.0767882,0.157062147,885,442.5,,,,,,,,,,,,,
p4.2.k,602.0297434,0.103030303,990,495,,,,,,,,,,,,,
p4.2.l,602.1981523,0.108737864,1030,515,,,,,,,,,,,,,
p4.2.m,602.2453048,0.090073529,1088,544,,,,,,,,,,,,,
p4.2.n,602.1344547,0.072056239,1138,569,,,,,,,,,,,,,
p4.2.o,602.2109919,0.081385281,1155,577.5,,,,,,,,,,,,,
p4.2.p,602.1624315,0.046952224,1214,607,,,,,,,,,,,,,
p4.2.q,602.1565814,0.027070064,1256,628,,,,,,,,,,,,,
p4.2.r,602.2941418,0.053225806,1240,620,,,,,,,,,,,,,
p4.2.s,602.2927418,0.022709475,1277,638.5,,,,,,,,,,,,,
p4.2.t,602.1490498,0.045636509,1249,624.5,,,,,,,,,,,,,
p4.3.b,7.046248436,0,38,12.66666667,,,,,,,,,,,,,
p4.3.c,49.27150011,0,193,64.33333333,,,,,,,,,,,,,
p4.3.d,338.1786468,0,335,111.6666667,,,,,,,,,,,,,
p4.3.e,603.2314227,0.017094017,468,156,,,,,,,,,,,,,
p4.3.f,603.1927884,0.020725389,579,193,,,,,,,,,,,,,
p4.3.g,603.5312026,0.067381317,653,217.6666667,,,,,,,,,,,,,
p4.3.h,603.2745187,0.120165746,724,241.3333333,,,,,,,,,,,,,
p4.3.i,603.5770471,0.13125,800,266.6666667,,,,,,,,,,,,,
p4.3.j,603.218147,0.118128655,855,285,,,,,,,,,,,,,
p4.3.k,603.623821,0.14254386,912,304,,,,,,,,,,,,,
p4.3.l,603.2660334,0.150052466,953,317.6666667,,,,,,,,,,,,,
p4.3.m,603.2322934,0.119230769,1040,346.6666667,,,,,,,,,,,,,
p4.3.n,604.1296239,0.116774791,1079,359.6666667,,,,,,,,,,,,,
p4.3.o,603.261811,0.099732858,1123,374.3333333,,,,,,,,,,,,,
p4.3.p,603.1845407,0.039506173,1215,405,,,,,,,,,,,,,
p4.3.q,603.3319776,0.057708162,1213,404.3333333,,,,,,,,,,,,,
p4.3.r,603.9927249,0.053527981,1233,411,,,,,,,,,,,,,
p4.3.s,603.345861,0.062652563,1229,409.6666667,,,,,,,,,,,,,
p4.3.t,603.2376406,0.073130649,1217,405.6666667,,,,,,,,,,,,,
p4.4.d,8.27765274,0,38,9.5,,,,,,,,,,,,,
p4.4.e,71.61090994,0,183,45.75,,,,,,,,,,,,,
p4.4.f,604.3818245,0.151234568,324,81,,,,,,,,,,,,,
p4.4.g,604.5743246,0.162280702,456,114,,,,,,,,,,,,,
p4.4.h,604.6874936,0.143607706,571,142.75,,,,,,,,,,,,,
p4.4.i,604.6167703,0.193037975,632,158,,,,,,,,,,,,,
p4.4.j,604.3132565,0.349363508,707,176.75,,,,,,,,,,,,,
p4.4.k,604.7372756,0.220645161,775,193.75,,,,,,,,,,,,,
p4.4.l,605.4967034,0.178947368,855,213.75,,,,,,,,,,,,,
p4.4.m,607.0706024,0.192222222,900,225,,,,,,,,,,,,,
p4.4.n,604.2173345,0.209129512,942,235.5,,,,,,,,,,,,,
p4.4.o,604.7505589,0.310810811,962,240.5,,,,,,,,,,,,,
p4.4.p,604.7696874,0.239520958,1002,250.5,,,,,,,,,,,,,
p4.4.q,606.096133,0.158135283,1094,273.5,,,,,,,,,,,,,
p4.4.r,604.2696862,0.212806026,1062,265.5,,,,,,,,,,,,,
p4.4.s,604.3116479,0.140611354,1145,286.25,,,,,,,,,,,,,
p4.4.t,604.252362,0.084717608,1204,301,,,,,,,,,,,,,
